defline	symbol
EPI2746960|A/swine/Illinois/A02861722/ISU-2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-08-17	////////////////////
EPI2774718|A/swine/Minnesota/UCHI-A0710710/2023|H1|swine|USA|1A.1.1.3|1998B||2023-07-13	////////////////////
EPI2907322|A/swine/Iowa/CEIRS-G86282/2023|H1|swine|USA|1B.2.1|1998B||2023-09-13	////////////////////
EPI2907731|A/swine/Indiana/SJCEIRR-SU1783/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907739|A/swine/Indiana/SJCEIRR-SU1785/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907746|A/swine/Indiana/SJCEIRR-SU1786/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907754|A/swine/Indiana/SJCEIRR-SU1787/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907897|A/swine/Indiana/SJCEIRR-SU1791/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907902|A/swine/Indiana/SJCEIRR-SU1796/2023|H1|swine|USA|1A.1.1.3|||2023-06-23	////////////////////
EPI2907908|A/swine/Indiana/SJCEIRR-SU1800/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907919|A/swine/Indiana/SJCEIRR-SU1782/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2907926|A/swine/Iowa/SJCEIRR-SU1470/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907934|A/swine/Iowa/SJCEIRR-SU1481/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907950|A/swine/Iowa/SJCEIRR-SU1529/2023|H1|swine|USA|1A.3.3.3-c3|N1.C.3.2||2023-06-15	////////////////////
EPI2907958|A/swine/Iowa/SJCEIRR-SU1531/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907966|A/swine/Iowa/SJCEIRR-SU1533/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907974|A/swine/Iowa/SJCEIRR-SU1536/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907982|A/swine/Iowa/SJCEIRR-SU1563/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2907993|A/swine/Indiana/SJCEIRR-SU1781/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-23	////////////////////
EPI2908009|A/swine/Indiana/SJCEIRR-SU1765/2023|H1|swine|USA|1A.3.3.3-c3|N1.C.3.2||2023-06-23	////////////////////
EPI2908015|A/swine/ISU-Illinois/A02861856/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-09-27	////////////////////
EPI2908020|A/swine/Indiana/SJCEIRR-SU1757/2023|H1|swine|USA|1A.3.3.3-c3|N1.C.3.2||2023-06-23	////////////////////
EPI2908027|A/swine/Indiana/SJCEIRR-SU1758/2023|H1|swine|USA|1A.3.3.3-c3|N1.C.3.2||2023-06-23	////////////////////
EPI2908035|A/swine/Indiana/SJCEIRR-SU1762/2023|H1|swine|USA|1A.3.3.3-c3|N1.C.3.2||2023-06-23	////////////////////
EPI2908065|A/swine/Ohio/SJCEIRR-SU0647/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908078|A/swine/Ohio/SJCEIRR-SU1014/2023|H1|swine|USA|1A.1.1.3|||2023-05-06	////////////////////
EPI2908081|A/swine/Ohio/SJCEIRR-SU1036/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-06	////////////////////
EPI2908086|A/swine/Ohio/SJCEIRR-SU1042/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-06	////////////////////
EPI2908091|A/swine/Ohio/SJCEIRR-SU1178/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-13	////////////////////
EPI2908098|A/swine/Ohio/SJCEIRR-SU0644/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908104|A/swine/Ohio/SJCEIRR-SU1208/2023|H1|swine|USA|1A.1.1.3|||2023-05-20	////////////////////
EPI2908117|A/swine/Ohio/SJCEIRR-SU1293/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-20	////////////////////
EPI2908123|A/swine/Ohio/SJCEIRR-SU1327/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-27	////////////////////
EPI2908130|A/swine/Ohio/SJCEIRR-SU1341/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-27	////////////////////
EPI2908138|A/swine/Ohio/SJCEIRR-SU1727/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-22	////////////////////
EPI2908148|A/swine/Ohio/SJCEIRR-SU1230/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-05-20	////////////////////
EPI2908200|A/swine/Ohio/SJCEIRR-SU0477/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-02-04	////////////////////
EPI2908207|A/swine/Ohio/SJCEIRR-SU0478/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-02-04	////////////////////
EPI2908212|A/swine/Ohio/SJCEIRR-SU0481/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-02-04	////////////////////
EPI2908216|A/swine/Ohio/SJCEIRR-SU0490/2023|H1|swine|USA|1A.3.3.2|||2023-02-04	////////////////////
EPI2908401|A/swine/Ohio/CEIRS-1281/2023|H1|swine|USA|1A.1.1.3|||2023-05-20	////////////////////
EPI2908401|A/swine/Ohio/SJCEIRR-1281/2023|H1|swine|USA|1A.1.1.3|||2023-05-20	////////////////////
EPI2908419|A/swine/Ohio/CEIRS-0688/2023|H1|swine|USA|1A.1.1.3|||2023-06-03	////////////////////
EPI2908419|A/swine/Ohio/SJCEIRR-0688/2023|H1|swine|USA|1A.1.1.3|||2023-06-03	////////////////////
EPI2908424|A/swine/Ohio/CEIRS-0675/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908424|A/swine/Ohio/SJCEIRR-0675/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908424|A/swine/Ohio/SJCEIRR-0675/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908427|A/swine/Ohio/CEIRS-0641/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908427|A/swine/Ohio/SJCEIRR-0641/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-03	////////////////////
EPI2908431|A/swine/Ohio/CEIRS-0606/2023|H1|swine|USA|1A.1.1.3|||2023-06-03	////////////////////
EPI2908431|A/swine/Ohio/SJCEIRR-0606/2023|H1|swine|USA|1A.1.1.3|||2023-06-03	////////////////////
EPI2908503|A/swine/Georgia/CEIRS-0343/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908503|A/swine/Georgia/SJCEIRR-0343/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908508|A/swine/Georgia/CEIRS-0290/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908508|A/swine/Georgia/SJCEIRR-0290/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908514|A/swine/Georgia/CEIRS-0147/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908514|A/swine/Georgia/SJCEIRR-0147/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-01-19	////////////////////
EPI2908626|A/swine/Iowa/CEIRS-1496/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908626|A/swine/Iowa/SJCEIRR-1496/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908641|A/swine/Iowa/CEIRS-1491/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908641|A/swine/Iowa/SJCEIRR-1491/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908649|A/swine/Iowa/CEIRS-1486/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908649|A/swine/Iowa/SJCEIRR-1486/2023|H1|swine|USA|1A.1.1.3|N1.C.2.1||2023-06-15	////////////////////
EPI2908817|A/swine/Indiana/ISU-1883/2023|H1|swine|USA|1A.3.3.2|N1.P||2023-10-05	////////////////////
EPI2909418|A/swine/North_Carolina/ISU-1875/2023|H1|swine|USA|1A.1.1.3|N1.C.3.2||2023-10-09	////////////////////
